trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
957,False,"{'a': 0.5, 'e': 0.14778452178570287}",25,18,16.814555776240375,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
958,False,"{'a': 0.5, 'e': 0.14748924811422748}",20,14,11.710058777773991,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.5, 'e': 0.14719456439994122}",25,11,23.705928615654837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.5, 'e': 0.1469004694641088}",20,8,-25.47976017220777,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
961,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,8,-20.599211984500275,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
962,False,"{'a': 0.5, 'e': 0.14631404122463545}",25,15,19.801452393609296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.5, 'e': 0.14602170557528074}",20,8,21.348033129326048,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.5, 'e': 0.14572995401294303}",25,15,18.542381562993427,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 0.1454387853706157}",20,0,26.55509063521931,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
966,False,"{'a': 0.5, 'e': 0.14514819848362373}",20,9,17.609778802886236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.5, 'e': 0.14485819218961926}",20,12,15.87752779953946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.5, 'e': 0.14456876532857668}",30,8,14.261431875543638,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
969,False,"{'a': 0.5, 'e': 0.14427991674278817}",25,17,2.845331284578739,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
970,False,"{'a': 0.5, 'e': 0.143991645276859}",20,0,-40.19635933302865,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
971,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,13,12.656348815539948,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
972,False,"{'a': 0.5, 'e': 0.14341682909453757}",30,18,1.360453739515734,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
973,False,"{'a': 0.5, 'e': 0.14313028207887982}",20,8,24.856339195564974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.5, 'e': 0.14284430758454122}",25,11,25.132564904216352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.5, 'e': 0.14255890446762343}",25,20,8.004161463395874,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.5, 'e': 0.1422740715865136}",25,13,14.581803204672982,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.5, 'e': 0.14198980780187978}",25,1,12.259054936335295,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
978,False,"{'a': 0.5, 'e': 0.1417061119766665}",20,0,21.3719922176228,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.5, 'e': 0.14142298297609007}",35,17,-10.48168887208335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
980,False,"{'a': 0.5, 'e': 0.1411404196676341}",20,7,11.917646638534793,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
981,False,"{'a': 0.5, 'e': 0.140858420921045}",20,8,21.508072534751975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.5, 'e': 0.1405769856083274}",25,11,10.35971714197559,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
983,False,"{'a': 0.5, 'e': 0.14029611260373964}",20,9,9.87988173058093,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.5, 'e': 0.1400158007837894}",30,19,17.577134006900877,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.5, 'e': 0.13973604902722894}",20,9,10.598507313850654,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
986,False,"{'a': 0.5, 'e': 0.13945685621505094}",20,11,5.23773774452168,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
